what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570547250
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281570550498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281570551179
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281570555102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281570555920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570558694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570562682
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1281570567756
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570569930
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570572433
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1281570572738
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1281570572824
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1281570572872
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1281570573770
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1281570573786
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1281570575552
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570575630
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570576771
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570577534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570577775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570579975
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570580130
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570580888
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281570581632
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1281570583237
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1281570586589
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281570586613
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570589134
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570592679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570593735
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570618876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570620918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570643366
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1281570644858
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570648682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570687396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570690564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570693157
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281570701381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281570702679
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281570703189
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570707720
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570709829
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281570710467
