what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574735119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574750706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574757240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574771377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281574811843
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281574825194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281574828343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281574830595
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281574838752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574843710
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574844154
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574848312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574849900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574850661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574850698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574851275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574851636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574855303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574855354
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574858207
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281574876229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281574881555
